timestep_idx,timestep_value,n_units,max_local_iter_idx,z_start_gain_vs_avg_global,z_end_gain_vs_avg_global,z_end_gain_vs_best_global,z_end_marginal,recommended_local_steps,k_90pct_gain_steps,gain_vs_avg_global_end
0,981.0,5,19,0.3710956428357058,0.7685136916231722,0.09382241760799236,0.00026758923584604423,20,5,0.04978029616431989
1,961.0,5,19,-0.11790126638454865,0.43874014202144024,0.004011835163818947,0.0,0,10,0.01633132674724789
2,941.0,5,19,0.05017826172497768,0.38899151306804974,0.041752061966437014,0.0,20,15,0.013260733001624003
3,921.0,5,19,0.25099255174422835,0.5114985547479741,0.09153950511534877,0.0,20,16,0.016251085554163575
4,901.0,5,19,0.16846518042720243,0.45971724746832915,0.08092312928151454,0.0007737750567521691,20,12,0.011884423738619287
5,881.0,5,19,-0.1095392777934499,0.4090662626553332,0.046569383024645104,0.0056624372743421855,0,14,0.010306754677794027
6,861.0,5,19,-0.04037841193406554,0.4050146665462179,0.07091249832741996,0.008115351326432794,0,17,0.009648744808849497
7,841.0,5,19,0.046467670928376024,0.40187429542635444,0.07369848034608902,0.002570265468354437,20,12,0.009379139158053973
8,821.0,5,19,-0.21068905760649873,0.6810817635615033,0.07550729319224647,0.0038777933693855938,0,18,0.012880745952702588
9,801.0,5,19,-0.2585010233723789,0.689497087714754,0.16532163258542357,0.024627431539831067,0,16,0.012094825876159065
10,781.0,5,19,0.023966552015818394,0.6141225715313763,0.09237225153743045,0.0,20,15,0.012720417704634479
11,761.0,5,19,0.22801126331019206,0.5812509131972983,0.08711830794751824,0.008179522788294823,20,10,0.009758841408938502
12,741.0,5,19,0.011173816477936058,0.5638049807279946,0.05327351669626586,0.008937804979011178,20,12,0.008579376240320059
13,721.0,5,19,0.2035348884026127,0.6439600900969431,0.13131108587236762,0.0,20,15,0.010086163146478283
14,701.0,5,19,0.11941337098671397,0.6040264740144511,0.07447470357325466,0.00034934195749202287,20,9,0.009213461963534786
15,681.0,5,19,0.2257636272329186,0.5835524461678894,0.06157495293093853,0.005634274764823468,20,10,0.007872275416486963
16,661.0,5,19,0.129814890675143,0.7683008508972142,0.13262776827219108,0.0,20,15,0.01014155526247893
17,641.0,5,19,0.05688624143444985,0.6088990996368546,0.0753442112164977,0.0033463313549986313,20,8,0.008975878705707707
18,621.0,5,19,0.21457087570814518,0.5380061017053271,0.0721421342484052,0.0002579987558403047,20,10,0.008352547741168115
19,601.0,5,19,-0.00019479069603945965,0.7292717210205619,0.06708473398765777,0.0,0,7,0.010001336428917984
20,581.0,5,19,-0.38901917512218653,0.5168127837396951,0.028288234558166765,0.006054876591332985,0,13,0.00728332593746237
21,561.0,5,19,0.04717661174581435,0.6272360808405393,0.04907471357186058,0.004203397567111541,20,14,0.007958599375888675
22,541.0,5,19,-0.1376452344653179,0.5878813031889003,0.07641603745122398,0.003618740463807698,0,19,0.00736493022579805
23,521.0,5,19,0.24339108500959233,0.5980202992725147,0.0650136892281585,0.0011982526601594318,20,16,0.00798417669734317
24,501.0,5,19,-0.008989698171498636,0.5165373495847642,0.05929337022968031,0.0026065771346691644,0,15,0.007131885486821132
25,481.0,5,19,0.04983865289726643,0.4457614175771189,0.05242712901766753,0.0,20,7,0.006019731733910727
26,461.0,5,19,-0.08227240472786217,0.633501543946529,0.11611953214764688,0.0,0,16,0.007135923300230362
27,441.0,5,19,-0.07563733624396707,0.5918187965045182,0.09601971853226002,0.007611223395622641,0,13,0.0067387414846830085
28,421.0,5,19,-0.1557333773035043,0.7005450367916816,0.04198198916325123,0.0,0,8,0.007475494457686938
29,401.0,5,19,-0.048560685535353344,0.6705545890058319,0.06972229096521596,0.0,0,6,0.005924289407640271
30,381.0,5,19,-0.4386607142640243,0.726589386345112,0.0717748138896981,0.0,0,9,0.00541239546736969
31,361.0,5,19,-0.051494814193865854,0.8500622937174935,0.1272039183697355,0.0,0,7,0.006299724127745687
32,341.0,5,19,0.09221571184111868,1.0954581891175352,0.09695125841874608,0.012908197545673484,20,20,0.0063646898619263426
33,321.0,5,19,-0.1843357472187323,0.91336513081063,0.07734511118628232,0.0,0,11,0.005479477187627024
34,301.0,5,19,-0.03479236511598598,0.6587656968788125,0.05934431146263086,0.0,0,8,0.0040703728522099025
35,281.0,5,19,-0.02336519054592685,0.7659125064422898,0.061682437830301105,0.0,0,11,0.004056260532567269
36,261.0,5,19,-0.05528202103648193,0.7603003472945075,0.09253433464802666,0.003274990165558621,0,12,0.0037139649791174457
37,241.0,5,19,-0.02509949367975418,0.7491779647641452,0.0008847979689198735,0.00708894850322671,0,15,0.003381394056198572
38,221.0,5,19,0.1640791707583896,0.683211028309337,0.039314556238820055,0.0013862329362636463,20,16,0.0032901582074525092
39,201.0,5,19,0.16120027777706558,0.7751561313423745,0.17790580784134186,0.0,20,8,0.0031429416129310052
40,181.0,5,19,-0.015880844411074832,0.679642443537231,0.04516524175793942,0.03259876315911506,0,19,0.0026685320476893095
41,161.0,5,19,-0.03730529513109203,0.7033497294701694,0.055454616016501444,0.0,0,10,0.0027058249255885293
42,141.0,5,19,-0.24053536244072588,0.5723933562640653,0.04949065660974527,0.0,0,7,0.0021394553254206194
43,121.0,5,19,-0.03392045354455834,0.7036800613880668,0.02568530427826316,0.0014030665318641557,0,16,0.002511055839427734
44,101.0,5,19,0.38708820938957306,0.5983912023336074,-0.06093027447242547,0.0,20,11,0.0018463813161278876
45,81.0,5,19,-0.0540492048944099,0.7405991653134278,0.06467724127780286,0.0,0,12,0.0019696001289210897
46,61.0,5,19,0.04367719020434514,0.7754605284549105,0.10394006096490058,0.0,20,18,0.0020392346802994565
47,41.0,5,19,-0.1788022832335438,0.7700178028070095,0.10566865973050961,0.0,0,18,0.0018167776166776895
48,21.0,5,19,-0.017855843205835796,0.30218010115741184,0.08742177985315208,0.0020078889936470546,0,10,0.000801943526476423
49,1.0,5,19,0.4594178542114335,2.423961127238159,0.6992622365965715,0.0,20,11,0.0006794387615476127
